Size;DataSize;Alg1;Alg2;Alg3;
512;2048;4.14002; 1.25102; 31.5171; 
665;2660;4.06435; 1.04056; 17.2971; 
864;3456;6.10242; 1.41071; 11.2349; 
1123;4492;10.3495; 1.03885; 8.83316; 
1459;5836;8.88923; 1.1457; 6.77703; 
1896;7584;7.79959; 1.21373; 5.3188; 
2464;9856;6.97901; 1.04596; 4.77267; 
3203;12812;6.33198; 1.04351; 3.11443; 
4163;16652;5.82203; 1.04694; 2.54876; 
5411;21644;5.57661; 1.04522; 2.15196; 
7034;28136;5.19058; 1.0803; 2.15522; 
9144;36576;4.92981; 4.93574; 1.43651; 
11887;47548;4.75065; 4.46139; 1.10628; 
15453;61812;4.61844; 5.04995; 0.884631; 
20088;80352;4.51229; 4.11314; 1.21475; 
26114;104456;4.44898; 3.45708; 2.15384; 
33948;135792;4.41271; 2.86102; 5.02095; 
44132;176528;4.33046; 2.46993; 2.198; 
57371;229484;4.30124; 2.16097; 3.39934; 
74582;298328;4.31704; 1.86831; 2.07447; 
96956;387824;4.24317; 1.68105; 1.51916; 
126042;504168;4.24984; 1.53838; 0.951638; 
163854;655416;4.22998; 1.43506; 1.44538; 
213010;852040;4.23744; 1.33944; 0.991992; 
276913;1107652;4.21455; 1.26711; 0.787219; 
359986;1439944;4.22536; 1.22544; 0.81774; 
467981;1871924;4.2031; 1.18456; 0.591701; 
608375;2433500;4.20261; 1.14779; 0.418776; 
790887;3163548;4.19991; 1.14216; 0.440972; 
1028153;4112612;4.19812; 1.15241; 0.442003; 
1336598;5346392;4.21335; 1.12719; 0.40292; 
1737577;6950308;4.22918; 1.13308; 0.396338; 
2258850;9035400;4.22324; 1.12916; 0.403471; 
2936505;11746020;4.2243; 1.11907; 0.414152; 
3817456;15269824;4.22298; 1.11105; 0.468428; 
4962692;19850768;4.22417; 1.10429; 0.522731; 
6451499;25805996;4.22677; 1.11079; 0.529838; 
8386948;33547792;4.22872; 1.10034; 0.541926; 
10903032;43612128;4.22888; 1.1006; 0.544653; 
14173941;56695764;4.23486; 1.1015; 0.555047; 
18426123;73704492;4.23108; 1.09975; 0.549821; 
23953959;95815836;4.24702; 1.09792; 0.545887; 
