Size;DataSize;Prime;Random;Less7;
1;8;0,0101773;0,0104548;0,012936; 
2;16;0,0163184;0,0311815;0,0180249; 
3;24;0,0117018;0,0191419;0,0264681; 
4;32;0,0152074;0,0171368;0,0270925; 
5;40;0,0168735;0,0209703;0,0306063; 
6;48;0,0286485;0,0350258;0,0321275; 
7;56;0,0875965;0,120499;0,03874; 
8;64;0,218447;0,0325168;0,0471604; 
9;72;1,03772;0,0301889;0,0411163; 
10;80;1,67904;0,214975;0,0427203; 
11;88;13,0563;0,400946;0,0491533; 
12;96;;0,215836;0,0518719; 
13;104;;0,254555;0,0532267; 
14;112;;41,8728;0,0527619; 
15;120;;;0,0567492; 
