id	date	owner_id	from_id	likes	reposts
223966	1714590724	-39428534	437096305	96	1
223954	1714573260	-39428534	346888409	671	124
223949	1714563180	-39428534	135707462	483	72
223936	1714540200	-39428534	834640539	388	30
223923	1714471980	-39428534	834640539	539	29
223915	1714453860	-39428534	135707462	554	28
223901	1714407540	-39428534	-39428534	117	15
223890	1714392660	-39428534	135707462	563	233
223875	1714367520	-39428534	135707462	423	34
223863	1714313820	-39428534	834640539	177	9
223841	1714284780	-39428534	135707462	419	16
223837	1714281180	-39428534	135707462	360	13
223824	1714238040	-39428534	135707462	317	19
223816	1714212780	-39428534	834640539	435	67
223811	1714194840	-39428534	135707462	412	51
223798	1714129620	-39428534	196241794	388	42
223777	1714108500	-39428534	135707462	375	82
223766	1714054500	-39428534	35990220	1127	84
223699	1713979527	-39428534	437096305	881	169
223678	1713885240	-39428534	298153988	772	60
223677	1713881700	-39428534	340690714	623	68
223660	1713852540	-39428534	471818905	363	24
223655	1713798540	-39428534	49798429	636	42
223639	1713766140	-39428534	298153988	1097	222
223624	1713720480	-39428534	382138812	371	31
223622	1713702480	-39428534	661606222	226	7
223615	1713684480	-39428534	834640539	271	6
223609	1713636540	-39428534	49798429	276	41
223604	1713614940	-39428534	135707462	248	16
223597	1713593340	-39428534	47785857	479	28
223583	1713539340	-39428534	437096305	393	24
223572	1713507840	-39428534	663076608	397	21
223548	1713461580	-39428534	834640539	553	95
223534	1713421440	-39428534	437096305	250	16
223529	1713374700	-39428534	298153988	510	27
223512	1713356580	-39428534	-39428534	113	19
223498	1713341220	-39428534	214723461	212	3
223487	1713287220	-39428534	89889578	783	37
223480	1713273360	-39428534	222308404	674	40
223456	1713198240	-39428534	437096305	476	60
223443	1713159480	-39428534	346888409	1083	151
223432	1713119220	-39428534	382138812	563	41
223425	1713104100	-39428534	135707462	445	29
223415	1713072780	-39428534	35990220	548	61
223402	1713031740	-39428534	196241794	280	9
223380	1713002820	-39428534	222308404	820	57
223366	1712981220	-39428534	340690714	250	69
223356	1712947582	-39428534	222308404	676	164
223344	1712923740	-39428534	214723461	689	97
223335	1712905620	-39428534	834640539	475	66
223323	1712853660	-39428534	471818905	757	125
223311	1712837160	-39428534	227432747	473	81
223301	1712819220	-39428534	298153988	378	39
223295	1712762280	-39428534	89889578	395	18
223286	1712749080	-39428534	227432747	327	61
223281	1712732820	-39428534	196241794	495	9
223273	1712683440	-39428534	382138812	419	34
223260	1712662980	-39428534	298153988	345	32
223250	1712639160	-39428534	257034139	448	36
223238	1712598180	-39428534	298153988	624	118
223234	1712585700	-39428534	222308404	332	19
223218	1712558460	-39428534	346888409	184	4
223207	1712513340	-39428534	196241794	299	24
223187	1712499300	-39428534	298153988	487	22
223169	1712473560	-39428534	437096305	323	29
223131	1712423520	-39428534	47785857	1779	131
223127	1712412900	-39428534	135707462	106	12
223121	1712388780	-39428534	135707462	421	15
223111	1712333220	-39428534	346888409	514	30
223101	1712315640	-39428534	49798429	521	168
223091	1712293560	-39428534	850284819	1184	134
223076	1712250420	-39428534	214723461	396	32
223073	1712246820	-39428534	257034139	562	44
223061	1712211600	-39428534	47785857	479	23
223040	1712170046	-39428534	382138812	828	110
223030	1712145120	-39428534	35990220	404	101
223022	1712131620	-39428534	437096305	491	47
223010	1712067300	-39428534	257034139	339	18
222997	1712040180	-39428534	298153988	866	83
222983	1712005444	-39428534	383498520	265	6
222965	1711994892	-39428534	222308404	457	21
222957	1711991040	-39428534	346888409	611	32
222942	1711987440	-39428534	49798429	464	11
222935	1711985640	-39428534	47785857	569	37
222928	1711983840	-39428534	89889578	295	22
222918	1711980240	-39428534	35990220	122	4
222909	1711976640	-39428534	382138812	117	1
222900	1711973040	-39428534	346888409	205	7
222894	1711969440	-39428534	35990220	193	6
222892	1711965840	-39428534	257034139	171	4
222886	1711962240	-39428534	346888409	312	6
