id	date	owner_id	from_id	likes	reposts
1957	1714982561	-88704999	36762561	0	0
1956	1713797460	-88704999	80684434	8	8
1955	1713761460	-88704999	80684434	4	12
1949	1713244080	-88704999	7503745	29	0
1947	1713007250	-88704999	-88704999	41	4
1946	1712851632	-88704999	-88704999	18	14
1945	1712813400	-88704999	7503745	10	17
1942	1712764966	-88704999	17808715	13	4
1941	1712180984	-88704999	7550797	1	3
1940	1712180939	-88704999	36762561	4	3
1935	1712031060	-88704999	17808715	30	11
1934	1711988400	-88704999	17808715	2	4
1929	1711961110	-88704999	-88704999	5	6
1904	1711623538	-88704999	50168542	9	2
1900	1711615253	-88704999	137509477	177	14
1896	1711429920	-88704999	17808715	53	27
1894	1711282473	-88704999	80684434	10	12
1886	1711179441	-88704999	34041162	43	0
1882	1711138697	-88704999	34041162	17	7
1881	1711093599	-88704999	-88704999	48	3
1880	1711033140	-88704999	50168542	9	1
1879	1711023246	-88704999	7550797	22	6
1878	1710828240	-88704999	-88704999	36	18
1876	1710770585	-88704999	36762561	1	4
1874	1710491972	-88704999	36762561	3	2
1873	1710433357	-88704999	7550797	7	2
1871	1710254100	-88704999	7503745	34	10
1870	1710221700	-88704999	7503745	12	5
1867	1710153890	-88704999	50168542	2	2
1865	1709882663	-88704999	7550797	25	1
1864	1709835230	-88704999	-88704999	19	3
1863	1709529900	-88704999	7550797	14	10
1859	1709402297	-88704999	34041162	207	15
1857	1709184240	-88704999	34041162	7	9
1853	1708936154	-88704999	7503745	3	0
1852	1708699069	-88704999	34041162	82	4
1848	1708678318	-88704999	50168542	112	9
1847	1708672107	-88704999	34041162	7	0
1845	1708507577	-88704999	17808715	32	3
1843	1707896793	-88704999	50168542	4	0
1842	1707849613	-88704999	7550797	2	2
1841	1707645601	-88704999	34041162	12	0
1840	1707634802	-88704999	7503745	15	6
1837	1707582600	-88704999	-88704999	2	1
1836	1707541860	-88704999	7550797	22	2
1835	1707509518	-88704999	-88704999	0	2
1832	1707491343	-88704999	80684434	1	2
1831	1707457680	-88704999	7550797	2	0
1829	1707410880	-88704999	17808715	42	8
1824	1707396332	-88704999	-88704999	0	4
1823	1707389878	-88704999	80684434	1	0
1822	1707389821	-88704999	50168542	1	0
1821	1707323340	-88704999	50168542	12	2
1819	1707240420	-88704999	50168542	3	2
1817	1707129073	-88704999	50168542	16	2
1815	1707111720	-88704999	36762561	2	6
1813	1707027120	-88704999	80684434	8	2
1811	1706940780	-88704999	17808715	41	4
1809	1706799581	-88704999	36762561	6	1
1808	1706792601	-88704999	50168542	5	1
1807	1706767500	-88704999	-88704999	3	4
1805	1706729745	-88704999	34041162	6	2
1804	1706351806	-88704999	-88704999	3	2
1803	1706335202	-88704999	36762561	7	8
1801	1706283840	-88704999	34041162	2	2
1800	1706249280	-88704999	-88704999	2	0
1797	1706182932	-88704999	7503745	2	0
1796	1706169154	-88704999	50168542	9	0
1795	1706101142	-88704999	7550797	1	11
1794	1706073480	-88704999	80684434	6	7
1792	1705691174	-88704999	34041162	1	3
1791	1705649416	-88704999	36762561	7	5
1790	1704885295	-88704999	7503745	3	7
1789	1704027050	-88704999	7503745	111	3
1787	1704014671	-88704999	7503745	4	0
1786	1703655180	-88704999	137509477	24	3
1784	1703620168	-88704999	137509477	18	5
1783	1703619927	-88704999	7503745	3	3
1782	1703501295	-88704999	7550797	5	2
1781	1703271915	-88704999	7503745	7	13
1780	1703002806	-88704999	50168542	9	8
1779	1702669390	-88704999	50168542	5	2
1777	1702396497	-88704999	7503745	73	33
1776	1701542780	-88704999	50168542	1	0
1775	1701407160	-88704999	34041162	19	1
1772	1701235260	-88704999	50168542	44	4
1770	1700850194	-88704999	34041162	3	3
1768	1700830502	-88704999	-88704999	32	0
1767	1700719500	-88704999	34041162	1	1
1766	1700681301	-88704999	17808715	25	7
1764	1700579184	-88704999	7503745	1	0
1763	1700414348	-88704999	7503745	12	3
1761	1700228479	-88704999	80684434	22	9
1760	1700159580	-88704999	137509477	23	10
1759	1700114523	-88704999	-88704999	24	6
1755	1699986099	-88704999	34041162	52	9
1753	1699983396	-88704999	7550797	5	4
1752	1699870601	-88704999	-88704999	16	0
1751	1699803420	-88704999	137509477	4	4
1750	1699651582	-88704999	36762561	2	1
1749	1699416300	-88704999	50168542	0	1
1745	1699377680	-88704999	80684434	5	1
1742	1699303034	-88704999	34041162	53	14
1741	1698177746	-88704999	50168542	0	1
1740	1698096123	-88704999	50168542	1	2
1739	1697817944	-88704999	-88704999	3	3
1738	1697751814	-88704999	137509477	1	1
1737	1697564865	-88704999	80684434	0	4
1736	1697454139	-88704999	17808715	3	1
1735	1697445927	-88704999	7550797	4	0
1734	1696779997	-88704999	80684434	23	4
1733	1696491598	-88704999	50168542	11	1
1730	1695729597	-88704999	137509477	0	1
1727	1695403798	-88704999	137509477	15	2
1726	1695331257	-88704999	17808715	9	5
1725	1695317894	-88704999	7550797	2	4
1721	1695237545	-88704999	80684434	13	14
1718	1694621979	-88704999	7503745	0	1
1717	1694619077	-88704999	36762561	5	10
1716	1694593715	-88704999	50168542	1	1
1714	1694452508	-88704999	-88704999	3	6
1713	1694440689	-88704999	36762561	0	0
1712	1694272293	-88704999	34041162	2	0
1711	1693937700	-88704999	-88704999	0	2
1710	1693900800	-88704999	137509477	5	0
1708	1693850376	-88704999	7550797	5	1
1707	1693639740	-88704999	80684434	1	3
1705	1693581266	-88704999	80684434	35	4
1704	1693549324	-88704999	36762561	7	0
1701	1693387065	-88704999	137509477	36	33
1699	1692019538	-88704999	80684434	1	1
1698	1691672142	-88704999	7503745	5	3
1696	1691145270	-88704999	17808715	19	16
1695	1691063779	-88704999	80684434	1	0
1694	1690968368	-88704999	80684434	3	1
1693	1690376798	-88704999	17808715	4	1
1692	1690099310	-88704999	34041162	0	2
1691	1689595842	-88704999	17808715	2	7
1690	1689330970	-88704999	7503745	0	0
1689	1687981365	-88704999	7550797	6	5
1687	1687872702	-88704999	50168542	8	20
1686	1687698910	-88704999	137509477	3	4
1684	1687513218	-88704999	7550797	1	4
1682	1686933579	-88704999	80684434	30	3
1681	1686579759	-88704999	7550797	66	14
1680	1686157016	-88704999	36762561	2	0
1679	1686051450	-88704999	34041162	0	1
1677	1685086297	-88704999	80684434	3	9
1676	1684599316	-88704999	80684434	4	0
1675	1684300500	-88704999	-88704999	32	8
1673	1683881537	-88704999	36762561	1	3
1672	1683671825	-88704999	80684434	2	0
1671	1683324156	-88704999	36762561	5	0
1670	1682617395	-88704999	50168542	5	1
1669	1682373381	-88704999	7550797	3	1
1668	1681339771	-88704999	7503745	6	3
1667	1681221628	-88704999	137509477	10	7
1666	1680875029	-88704999	-88704999	2	1
1665	1680708900	-88704999	36762561	2	5
1661	1680328803	-88704999	-88704999	15	3
1657	1680189420	-88704999	34041162	0	5
1656	1680153840	-88704999	80684434	46	16
1653	1680029100	-88704999	137509477	2	1
1646	1679989734	-88704999	36762561	171	12
1642	1679548260	-88704999	50168542	23	23
1641	1679507340	-88704999	137509477	1	0
1640	1679401011	-88704999	7550797	16	1
1637	1679331143	-88704999	7550797	0	0
1636	1679328317	-88704999	17808715	11	5
1635	1679321004	-88704999	7503745	1	0
1633	1678950549	-88704999	137509477	6	8
1632	1678885714	-88704999	7503745	4	3
1628	1678708072	-88704999	80684434	26	11
1627	1678698624	-88704999	17808715	3	9
1625	1678612475	-88704999	137509477	31	4
1624	1678262069	-88704999	137509477	12	1
1623	1678108384	-88704999	137509477	4	1
1622	1677772575	-88704999	36762561	4	5
1617	1677509481	-88704999	50168542	119	17
1616	1677507103	-88704999	36762561	0	0
1612	1677229214	-88704999	36762561	0	1
1602	1677128521	-88704999	137509477	318	19
1601	1676985940	-88704999	7550797	2	1
1599	1676490624	-88704999	36762561	10	5
1598	1676391960	-88704999	50168542	7	16
1593	1676199466	-88704999	34041162	3	31
1585	1676129249	-88704999	17808715	148	26
1583	1676060600	-88704999	137509477	65	46
1581	1675952705	-88704999	50168542	19	11
1580	1675924200	-88704999	50168542	0	3
1576	1675879201	-88704999	-88704999	24	10
1574	1675842000	-88704999	-88704999	157	27
1573	1675839986	-88704999	80684434	8	0
1571	1675834467	-88704999	50168542	8	0
1569	1675785214	-88704999	34041162	0	0
1568	1675580524	-88704999	7503745	29	32
1566	1675524660	-88704999	17808715	2	6
1565	1675490820	-88704999	36762561	2	7
1562	1675264500	-88704999	80684434	0	1
