id	date	owner_id	from_id	likes	reposts
47481	1714143603	-47535294	709327473	54	7
47552	1714579201	-47535294	709327473	25	1
47551	1714564801	-47535294	589940631	11	6
47549	1714557600	-47535294	-47535294	24	1
47547	1714550402	-47535294	709327473	49	6
47544	1714543202	-47535294	194378745	32	3
47538	1714488216	-47535294	-47535294	51	8
47537	1714473120	-47535294	-47535294	65	6
47536	1714465800	-47535294	709327473	28	4
47535	1714458600	-47535294	589940631	146	19
47526	1714406401	-47535294	709327473	19	5
47520	1714401000	-47535294	589940631	83	11
47517	1714392002	-47535294	-47535294	72	5
47515	1714379417	-47535294	-47535294	107	6
47509	1714305602	-47535294	709327473	148	25
47506	1714298402	-47535294	709327473	141	1
47497	1714226966	-47535294	589940631	211	16
47492	1714203785	-47535294	709327473	364	15
47485	1714153840	-47535294	194378745	419	20
47478	1714136402	-47535294	194378745	149	7
47473	1714131591	-47535294	-47535294	28	5
47469	1714123850	-47535294	589940631	53	5
47467	1714118651	-47535294	709327473	323	17
47464	1714057449	-47535294	709327473	63	2
47459	1714046403	-47535294	-47535294	13	5
47457	1714040453	-47535294	589940631	16	9
47453	1714032003	-47535294	194378745	120	0
47447	1713972600	-47535294	709327473	120	15
47445	1713962012	-47535294	194378745	47	4
47443	1713954295	-47535294	709327473	74	18
47441	1713947741	-47535294	194378745	27	11
47437	1713889360	-47535294	589940631	61	8
47432	1713868200	-47535294	589940631	65	2
47430	1713862803	-47535294	194378745	31	4
47428	1713857700	-47535294	709327473	10	1
47426	1713796652	-47535294	709327473	23	0
47419	1713784235	-47535294	709327473	339	5
47416	1713780501	-47535294	194378745	18	15
47409	1713772695	-47535294	709327473	15	4
47392	1713713400	-47535294	589940631	249	23
47390	1713706200	-47535294	709327473	22	2
47387	1713700803	-47535294	709327473	83	0
47385	1713693600	-47535294	709327473	10	2
47384	1713682801	-47535294	709327473	252	43
47378	1713621601	-47535294	589940631	83	8
47377	1713614403	-47535294	194378745	11	2
47373	1713607200	-47535294	194378745	27	2
47372	1713598612	-47535294	-47535294	65	4
47369	1713538802	-47535294	-225575176	78	3
47366	1713533400	-47535294	709327473	29	20
47362	1713529069	-47535294	589940631	42	0
47358	1713518283	-47535294	194378745	153	15
47352	1713511801	-47535294	589940631	149	5
47350	1713452403	-47535294	194378745	204	16
47348	1713441602	-47535294	589940631	10	1
47346	1713436933	-47535294	709327473	19	1
47345	1713427541	-47535294	589940631	22	3
47342	1713369646	-47535294	-47535294	147	3
47341	1713362402	-47535294	194378745	18	2
47339	1713355599	-47535294	589940631	59	27
47338	1713344749	-47535294	194378745	53	7
47331	1713283202	-47535294	-35849816	284	54
47330	1713279602	-47535294	709327473	18	1
47327	1713274200	-47535294	589940631	11	0
