id	date	owner_id	from_id	likes	reposts
949165	1714563840	-29166271	4251437	101	11
949231	1714581914	-29166271	225970077	120	11
949228	1714581260	-29166271	225970077	80	6
949200	1714573052	-29166271	140811482	764	74
949196	1714572004	-29166271	225970077	204	23
949191	1714570897	-29166271	225970077	117	10
949190	1714570695	-29166271	225970077	68	6
949173	1714565183	-29166271	225970077	370	17
949166	1714564107	-29166271	225970077	91	8
949121	1714545000	-29166271	225970077	371	16
949082	1714493911	-29166271	137175524	98	7
949080	1714493389	-29166271	225970077	142	10
949076	1714492532	-29166271	225970077	89	5
949074	1714490183	-29166271	225970077	108	7
949072	1714488611	-29166271	225970077	128	13
949058	1714477535	-29166271	225970077	172	9
949054	1714475662	-29166271	225970077	192	6
949053	1714475584	-29166271	225970077	77	4
949051	1714467924	-29166271	225970077	476	21
949003	1714409921	-29166271	225970077	282	9
948979	1714393421	-29166271	225970077	542	28
948977	1714393241	-29166271	225970077	157	10
948973	1714389734	-29166271	225970077	175	5
948972	1714389108	-29166271	225970077	274	12
948964	1714377509	-29166271	225970077	362	19
948919	1714323840	-29166271	4251437	113	16
948899	1714320422	-29166271	3725168	99	11
948891	1714318892	-29166271	225970077	158	18
948871	1714311528	-29166271	167828054	150	13
948838	1714299369	-29166271	16216546	306	23
948810	1714293303	-29166271	55121287	1415	187
948802	1714289657	-29166271	225970077	391	18
948752	1714241790	-29166271	225970077	388	90
948746	1714241137	-29166271	225970077	204	8
948710	1714221593	-29166271	225970077	488	32
948697	1714219878	-29166271	133121577	138	14
948673	1714217781	-29166271	225970077	213	26
948658	1714214484	-29166271	225970077	932	76
948657	1714214361	-29166271	225970077	356	19
948632	1714196071	-29166271	225970077	600	29
948630	1714195265	-29166271	225970077	185	20
948614	1714161716	-29166271	183700922	439	33
948606	1714157042	-29166271	225970077	213	8
948604	1714156520	-29166271	225970077	174	8
948600	1714153621	-29166271	225970077	419	24
948593	1714151550	-29166271	225970077	211	13
948556	1714132805	-29166271	17106323	124	18
948549	1714130420	-29166271	225970077	112	3
948540	1714129782	-29166271	225970077	279	15
948538	1714129525	-29166271	85052455	305	19
948489	1714073614	-29166271	225970077	343	26
948455	1714067098	-29166271	225970077	410	46
948453	1714066488	-29166271	22401220	107	8
